"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
11.86,28.17,0.001,1.21,2.6,0.001,15.42,0.001,10.55,38,31.32,23.88,1.42,136.03,9.19,105.71,8.45,59.01,111.61,61.71,119.79,291.45,952.1,29.43,0.001,244.48,3.57,6.57,1011.35,187.31,0.001,82.12
13.78,34.26,98.95,3.57,22.83,0.001,3.3,35.05,10.55,5.36,48.18,18.69,8.4,0.001,4.51,116.22,14.47,12.99,18.28,102.82,158.28,142.92,895.88,25.12,65.53,35.27,4.31,2.55,1144.44,64.69,91.65,27.74
31.97,137.42,8.98,15.11,5.29,0.001,337.08,60.77,127.49,127.59,147.96,93.89,4.53,620.46,32.67,224.55,14.79,54.13,205.12,2025.67,1234.88,359.37,1005.48,37.68,68.64,30.89,4.31,3.22,311.05,197.17,126.08,112.12
18.33,48.77,0.001,3.86,1.73,0.001,10.01,24.07,13.25,4.41,28.59,23.88,1.26,0.001,9.75,73.03,5.93,38.69,57.09,149.87,145.83,412.67,794.47,29.43,33.07,28.6,2.45,2.55,160.89,170.8,50.91,25.03
43.54,146.54,0.001,75.71,5.86,0.001,32.69,54.67,790.45,974.99,395.43,69.25,7.31,42.04,194.24,169.38,14.95,199.15,5679.95,897.45,2438,264.74,2151.35,424.18,52.9,50.99,44.35,3.73,1582.58,1273.22,2672.86,62.39
9.24,3.41,0.001,1.51,1.38,0.001,2.68,11.43,6.78,2.46,25.88,18.69,1.26,0.001,3.89,94.02,7.79,24.96,0.001,62.19,67.04,216.95,781.04,20.65,24.99,37.38,2.07,2.21,86.21,126.61,11.68,20.96
10.33,13.83,0.001,0.92,1.02,0.001,1.39,36.79,6.78,4.88,31.32,8.12,0.94,0.001,1.93,80.64,5.59,15.67,0.001,28.16,32.24,64.72,956.39,25.12,52.47,30.89,2.07,1.7,292.23,42.57,81.08,26.38
15.35,0.001,47.35,2.41,10.79,1.3,9.9,0.001,6.78,5.51,38.53,6.89,5.24,0.001,3.52,18.47,11.59,10.81,21.99,91.87,232.7,177.44,575.82,0.001,35.53,84.08,6.32,3.59,1621.97,104.44,8.19,17.56
35.51,87.81,9.19,11.25,4.89,1.06,169.1,85.25,62.34,258.75,100.83,52.55,2.8,309.02,34.09,170,13.39,105.22,134.77,1047.36,1729.6,406.26,1195.39,42.73,127.38,57.62,5.03,6.24,249.94,580.06,437.62,67.34
61.21,78.31,1.12,6.01,2.9,0.82,68.44,0.001,25.75,15.45,69.37,42.09,1.63,187.74,32.5,126.97,10.29,135.13,89.59,447.55,696.67,1478.45,748.81,26.19,50.92,78.6,6.64,5.57,375.6,741.15,244.61,22.01
81.7,146.65,4.05,74.63,18.28,1.3,87.17,0.001,706.19,469.94,306.93,60.94,5.33,166.33,149.18,167.7,14.55,357.02,3846.28,1202.04,3052.73,590.74,1346.39,346.12,23.68,93.58,39.85,6.91,1392.21,3148.11,3086.71,49.72
46.85,34.37,0.001,3.04,2.2,0.44,17.2,0.001,8.41,4.24,49.86,10.98,0.96,0.001,12.57,79.97,5.43,72.79,40.34,180.72,175.51,163.78,720.24,16.88,22.6,97.62,4.06,4.58,179.9,488.32,108.35,16.45
22.02,84.66,4.59,3.15,2.27,0.32,6.72,176.05,13.12,4.56,63.33,2.83,1.47,2.26,7.55,145.87,11.97,13.76,28.3,63.08,41.85,60.54,1455.04,46.61,141,97.62,3.42,7.25,162.65,101.16,437.62,22.01
23.83,41.55,52.83,4.23,22.21,4.88,8.15,111.97,13.12,3.82,66.77,15.09,2.47,0.001,6.7,112,11.78,9.4,46.14,191.08,231.27,116.46,1035.84,16.88,31.25,40.19,5.99,4.25,806.09,97.23,329.94,22.01
40.95,130.46,12.04,14.87,3.58,1.67,137.49,194.57,63.68,703.1,144.74,86.2,3.14,375.83,26.38,223.2,16.72,25.83,139.64,2043.28,2817.19,796.72,1700.87,61.42,149.4,20.21,5.03,5.41,179.9,261.38,541.41,90.62
41.33,63.69,5.49,9.24,3.18,0.82,58.15,91.2,41.97,13.91,77.28,52.55,4.32,121.91,39.9,144.58,8.01,94.56,134.77,880.43,978.18,834.18,1056.41,30.53,69.59,37.21,5.35,3.75,285.48,962.02,377.09,29.7
59.09,109.44,4.59,75.92,4.97,1.55,36.53,110.65,715.01,504.49,325.98,63.04,4.82,144.42,72.83,167.7,14.03,83.37,4038.14,876.65,2891.43,306.84,1566.02,364.34,103.06,38.7,36.82,5.41,1382.27,1333.43,3372.78,56.68
23.43,32.54,1.54,3.04,1.86,0.001,8.03,85.25,9.21,2.37,53.17,6.89,1.13,0.001,6.99,102.22,8.07,25.83,25.18,131.42,92.32,54.97,1029.97,11.7,56.2,34.2,3.1,3.42,95,175.79,235.19,14.2
19.97,28.82,0.4,2.62,1.66,0.69,4.39,40.54,8.81,1.96,51.51,6.89,0.96,48.59,4.69,102.22,7.28,11.28,21.99,76.31,60.31,46.65,872.57,16.88,50.66,35.7,2.63,3.42,111.68,72.22,200.09,10.8
18.31,30.69,7.51,2.72,4.28,0.82,3.85,115.89,10,2.37,58.21,0.001,2.47,0.001,2.33,79.97,9.51,2.73,21.99,67.78,36.86,30.97,1107.98,5.77,88.43,25.75,2.79,3.26,78.51,34.74,289.32,10.8
33.8,81.49,11.46,7.61,2.27,0.32,17.91,221.87,24.66,28.13,117.7,27.51,1.8,0.001,10.36,163.05,13.91,7.5,65.69,603.56,494.06,71.55,1602.68,46.61,144.93,11.96,3.1,4.99,145.52,58.92,694.82,32.98
25.63,36.18,1.87,3.69,1.86,0.44,9.59,105.29,13.12,2.78,58.21,15.09,0.96,0.001,10.08,71.37,5.16,6.13,40.34,212.31,136.94,118.11,918.98,16.88,66.97,21.81,2.79,2.94,62.26,130.41,257.07,9.66
37.96,70.25,3.87,74.21,2.75,0.32,12.55,118.47,685.14,480.93,286.98,19.22,3.81,0.001,60.07,132.58,9.97,9.56,3956.92,419.86,2249.41,47.14,1633.3,359.15,75.88,35.7,32.95,3.67,1332.68,341.81,3159.42,26.97
23.03,27.88,2.21,2.2,1.72,0.06,4.21,64.12,10,1.55,50.68,0.001,0.8,0.001,8.12,84,9.64,5.88,15.38,82.59,43.75,28.06,959.75,26.19,61.98,21.81,1.99,3.26,78.51,86.07,216.16,7.35
15.78,0.001,1.12,1.38,1.39,0.06,2.28,0.001,4.27,1.14,42.52,0.001,0.14,0.001,2.93,71.37,7.81,2.22,15.38,27.01,12.55,23.19,683.22,0.001,33.12,26.53,1.68,1.65,78.51,22.01,191.96,3.83
9.36,0.001,187.23,6.37,29.25,8.18,6.04,22.04,1.41,5.16,15.71,18.72,4.1,0.001,4.31,59.02,2.1,15.5,42.67,132.78,164.85,23.61,203.37,23.45,0.001,23.02,6.49,1.76,82.35,383.13,0.001,31.7
14.45,39.2,2.18,9.39,3.45,0.001,81.39,77.05,39.22,66.88,74.97,35.11,1.95,0.001,8.4,107.57,2.96,18.29,122.02,1321.53,1133.79,119.09,490.65,25.69,0.001,10.75,3.51,1.91,44.59,206.43,31.53,58.81
8.6,0.001,0.001,4.68,0.85,0.39,10.37,114.62,9.06,5.78,12.08,12.25,1.21,0.001,3.47,59.02,2.3,14.56,5.73,112.99,137.91,159.94,396.88,21.21,0.001,17.64,3.18,1.47,44.59,219.61,0.001,16.74
12.26,41.73,0.001,17.1,2.81,1.06,13.61,37.35,341.46,256.95,115.54,28.52,2.26,0.001,49.99,83.22,2.96,168.07,2687.43,477.12,1987.66,73.98,474.42,97.57,0.001,27.69,16.05,1.69,223.61,1374.85,1532.85,27.55
6.57,0.001,0.001,3.87,0.001,2.23,2.84,52.79,1.41,4.55,8.33,5.87,1.42,0.001,2.63,52.4,1.67,16.84,27.01,67.08,69.39,70.69,104.68,18.97,0.001,20.45,2.52,1.62,27.38,261.78,0.001,17.41
7.74,0.001,0.001,3.08,0.001,0.39,1.75,52.79,0.001,4.55,5.73,5.87,0.56,0.001,0.91,30.08,1.67,4.68,0.001,21.67,32,8.47,138.11,12.25,0.001,17.64,1.85,1.32,19.36,97.46,0.001,13.79
8.51,0.001,684.82,6.19,63.69,3.31,9.82,52.79,9.79,6.61,18.1,12.25,5.11,0.001,3.89,48.97,13.21,10.53,56.33,100.12,223.13,71.05,0.001,18.97,0.001,20.45,13.09,1.91,594.35,203.86,0.001,33.09
15.36,53.21,0.001,10.13,5.11,2.23,172.92,134.41,74.25,87.14,81.72,51.69,2.67,176.68,10.42,122.69,4.68,12.5,158.63,1456.97,1600.56,193.58,512.1,25.69,0.001,20.45,3.51,2.06,72.57,120,0.001,75.01
9.84,0.001,0.001,4.19,0.16,1.06,12.54,92.31,19.07,6.4,22.8,10.65,0.78,0.001,4.31,65.38,2.3,14.15,42.67,114.82,213.54,228.21,270.24,18.97,0.001,17.64,1.52,1.76,63,129.39,0.001,18.74
11.89,16.65,0.001,15.5,1.97,2.23,16.09,82.34,338.81,263.45,101.99,21.98,2.26,0.001,50.19,80.35,2.92,106.98,2748.91,432.09,1958.7,96.06,356.82,87.44,0.001,27.69,13.75,1.76,200.51,928.61,1498.12,31.7
4.57,0.001,0.001,3.39,0.001,0.39,3.37,65.66,0.001,5.37,0.001,2.74,0.56,0.001,1.34,41.81,0.7,10.25,0.001,41.04,73.8,136.21,0.001,10.02,0.001,23.02,2.18,1.84,53.66,117.72,0.001,13.46
7.16,0.001,0.001,4.03,0.001,0.39,2.58,37.35,0.001,4.35,25.13,0.001,1.21,0.001,1.34,45.44,3.3,5,0.001,22.17,47.03,34.05,297.71,17.85,0.001,23.02,1.85,1.76,53.66,43.51,0.001,12.17
14.69,38.08,10.13,1.8,1.38,0.001,3.91,97.25,4.79,2.46,31.32,13.44,0.94,8.01,2.6,94.02,5.42,19.77,0.001,12.74,0.001,5.13,990.6,29.43,41.81,33.11,3.76,3.05,104.84,90.38,185.91,43.83
19.94,53.77,11.78,2.98,0.75,0.001,5.33,87.86,7.75,4.41,59.79,13.44,2.5,212.92,4.51,121.14,8.37,26.69,39.85,19.31,5.24,6.91,1211.3,41.66,62.36,33.11,5.05,5.74,160.89,117.54,214,62.39
16.45,23.81,0.89,2.09,1.2,0.001,10.32,66.71,5.8,1.96,36.86,13.44,1.58,0.001,5.12,94.02,5.24,84.15,0.001,44.39,31.14,28.76,823.4,35.65,21.45,34.2,4.68,3.39,104.84,308.78,112.44,44.5
21.3,52.12,9.56,12.73,1.91,0.001,19.64,94.6,279.18,287.24,139.93,23.88,2.79,136.03,18.29,139.07,7.7,236.32,2170.2,179.95,1386.59,19.25,1211.3,118.22,42.74,37.38,13.05,3.39,358.12,753.43,1367.1,47.82
13.78,26.03,7.15,2.09,0.66,0.001,8.93,94.6,5.8,2.95,31.32,13.44,1.58,68.73,3.89,111.09,4.72,58.43,18.28,22.5,18.18,15.99,1020.32,41.66,30.48,37.38,4.68,3.73,142.18,221.18,114.72,51.81
13.31,36.19,5.16,1.21,0.84,0.001,3.73,93.26,4.79,2.46,28.59,8.12,1.26,0.001,3.26,87.59,7.37,19.77,39.85,10.14,0.001,4.29,990.6,37.68,5.59,35.27,4.68,2.89,123.5,76.67,114.72,45.16
23.18,58.6,322.43,7.11,129.07,31.19,38.51,41.86,15.87,13.18,74.63,49.3,9.2,175.69,15.17,143.21,74.41,58.57,111.61,284.73,531.14,208.67,821.18,33.61,0.001,37.38,19.31,2.97,594.14,479.23,40.9,58.43
33.58,205.9,0.001,14.66,7.26,0.001,415.24,27.86,119.73,1488.66,172.3,118.28,5.38,712.08,25.85,231.03,13.67,49.63,249.45,1954.88,2806.84,1058.6,1229.62,45.56,58.72,35.27,5.05,4.4,254.64,262.32,100.94,155.47
21.3,58.6,0.001,5.34,3.62,0.001,29.86,31.51,21.77,17.2,45.32,34.13,2.04,42.04,14.64,130.41,7.45,65.6,72.31,239.5,389.25,755.32,812.3,25.12,0.001,30.89,4.68,3.05,217.1,445.65,161.81,45.16
41.07,144.28,0.001,19.57,7.26,0.001,63.49,27.86,354.57,307.85,177.22,84.07,4.39,282.41,219.32,179.45,9.12,471.66,2218.72,1417.44,2360.08,369.57,990.6,126.2,0.001,37.38,13.05,3.39,367.54,3302.51,1161.85,67.67
12.84,26.03,0.001,2.68,1.73,0.001,8.93,0.001,6.78,13.63,34.08,18.69,1.26,42.04,6.32,100.04,2.78,56.51,18.28,102.05,141.08,371.23,803.39,15.95,0.001,32.01,3.57,2.38,132.84,347.82,0.001,31.78
10.85,41.76,0.001,1.8,1.73,0.001,4.75,20.12,5.8,8.86,31.32,2.64,1.26,0.001,5.12,111.09,4.38,22,39.85,32.22,60.44,104.63,889.35,29.43,0.001,35.27,3.2,2.21,86.21,131.28,0.001,30.43
14.24,58.6,144.74,3.27,43.28,9.87,6.88,102.51,10.55,5.36,51.06,18.69,3.38,0.001,3.26,105.71,15.9,15.92,18.28,75.65,109.64,37.19,1095.9,29.43,26.69,18.49,4.87,2.04,104.84,76.9,128.34,25.03
30.83,108.6,10.13,11.7,5.12,0.001,171.48,120.39,48.85,229.38,120.86,74.21,3.96,566.36,13.57,198.09,11.41,35.83,166.44,1115.74,685.11,186.28,1190.87,45.56,48.14,21.2,4.31,2.72,104.84,151.33,194.6,61.07
19.34,55.4,0.001,2.83,2.25,0.001,8.3,97.25,15,4.88,51.06,18.69,0.94,42.04,3.89,125.86,8.29,34.5,39.85,137.23,151.25,207.74,984.21,29.43,32.56,18.49,3.57,2.13,67.61,188.17,128.34,20.96
22.25,95.76,0.001,16.89,4.12,0.001,17.4,110.27,298.76,312.18,165.78,39.21,3.09,175.69,32.91,134.81,9.28,151.88,2256.88,517.83,1657.09,76.21,1415.66,115,0.001,25.02,12.51,2.55,348.7,945.34,1379.73,34.47
11.86,21.5,0.001,1.8,1.2,0.001,4.41,69.63,5.8,2.46,42.48,13.44,0.61,92.67,2.27,87.59,5.59,29.13,0.001,39.42,46.72,73.26,915.43,20.65,25.56,18.49,2.63,2.21,67.61,113.49,84.62,19.59
10.33,53.77,0.001,1.51,1.55,0.001,2.14,89.22,5.8,3.92,28.59,8.12,0.94,0.001,1.93,94.02,5.42,11.25,0.001,20.14,31.14,24.36,969.25,20.65,19.59,21.2,2.82,2.04,67.61,38.56,29.34,18.23
26.07,64.81,401.56,9.47,49.41,13.01,73.07,94.6,18.43,33.3,64.21,54.31,20.24,378.42,17.26,139.07,104.49,85.33,134.68,380.06,754.96,229.07,803.39,25.12,0.001,21.2,25.53,3.56,1515.83,264.3,0.001,69.64
34.06,179.18,10.97,16.15,5.45,0.001,433.71,127.83,133.59,1374.18,182.15,108.55,4.82,699.21,26.59,248.31,14.79,33.96,266.25,2463.75,3617.84,1002.46,1155.97,51.29,59.13,15.6,5.42,2.8,151.53,140.38,144.06,132.87
23.18,57.01,0.001,4.75,2.6,0.001,52.52,75.36,37.6,36.29,46.75,29.02,2.79,0.001,13.57,125.86,10.76,58.72,99.28,370.39,555.11,703.04,685.54,20.65,0.001,12.46,3.57,2.04,123.5,251.13,0.001,53.13
47.37,142.01,0.001,21.06,13.33,0.001,148.21,86.5,328.09,367.51,198.67,98.79,4.82,378.42,236.28,188.99,12.87,353.26,2271.74,1537.27,2689.88,383.38,1087.56,130.94,0.001,23.78,17,2.89,405.24,2274.75,1222.08,78.18
18.54,48.77,0.001,4.45,2.08,0.001,31.73,65.24,14.13,45.43,51.06,34.13,2.19,114.94,9.75,121.14,6.78,77.26,72.31,301.11,402.24,421.93,884.98,29.43,0.001,15.6,4.31,2.21,67.61,342.69,35.81,31.78
12.84,61.74,0.001,2.09,1.11,0.001,6.96,80.98,10.55,22.04,42.48,16.07,1.26,248.36,1.93,125.86,9.36,19.08,0.001,80.52,136.27,91.71,1102.15,25.12,3.13,18.49,2.82,1.87,67.61,78.33,63.15,35.81
27.81,93.11,555.7,10.66,49.33,0.001,51.78,86.5,18.43,41.4,76.13,56.81,14.94,378.42,20.34,158.68,88.56,43.84,134.68,467.84,840.48,230.9,1001.24,33.61,10.3,26.24,32.94,3.73,641.45,321.87,100.94,79.49
32.46,197.81,5.85,15.7,5.95,0.001,301.8,127.83,114.19,1355.98,165.78,113.42,5.1,812.83,21.61,243.49,15.43,32.42,257.91,2440.86,2913.39,936.34,1488.18,56.89,47.26,26.24,5.61,4.23,142.18,139.32,192.43,143.21
18.54,76.6,0.001,5.63,2.77,0.001,28.96,72.51,25.85,45,51.06,39.21,1.89,92.67,16.22,130.41,6.61,45.61,123.38,373.87,506.4,746.55,887.17,27.29,0.001,28.6,4.31,3.39,179.61,283.19,14.51,41.16
49.04,195.77,0.001,18.97,7.09,0.001,73.53,66.71,307.34,320.65,193.7,79.14,4.53,378.42,191.42,179.45,9.03,369.36,2163.47,1523.83,2478.41,339.35,1164.21,124.61,0.001,30.89,15.56,4.57,480.72,2615.62,1139.88,75.56
12.84,38.08,0.001,2.83,1.64,0.001,7.35,0.001,9.63,34.58,34.08,18.69,1.89,0.001,6.32,80.64,3.14,38,48.8,162.92,242.2,399.16,676.3,10.91,0.001,23.78,3.94,1.7,67.61,206.13,0.001,33.12
35.31,209.91,0.001,10.36,4.29,0.001,25.25,85.13,28.25,49.86,99.01,69.25,4.82,408.84,150.17,179.45,12.87,453.57,161.34,1259.2,1234.46,112.59,1521.25,49.39,19.59,39.44,10.17,3.98,142.18,2963.85,77.53,37.15
25,87.74,898.45,12.14,39.38,22.28,47.63,86.5,15,18.97,71.64,64.29,43.28,248.36,13.57,147.23,79.67,48.3,111.61,412.23,687.76,187.7,900.23,37.68,0.001,45.36,43.48,3.05,631.98,361.33,75.15,113.42
29.33,144.28,0.001,14.66,4.62,0.001,348.29,99.89,84.17,367.92,139.93,98.79,4.39,566.36,20.6,215.17,13.67,41.38,223.3,1995.26,2338.42,524.23,1264.06,51.29,35.09,37.38,5.05,2.8,123.5,152.94,73.96,175.43
18.13,50.46,0.001,3.57,1.38,0.001,26.86,75.36,18.85,11.37,48.18,23.88,1.58,0.001,11.41,111.09,9.12,64.04,72.31,193.77,286.36,507.67,852.11,29.43,0.001,41.45,3.57,2.89,367.54,204.38,31.95,49.15
40.48,142.01,0.001,17.19,4.79,0.001,58.11,95.93,271.36,286.01,175.58,69.25,4.25,265.54,177.28,160.52,14.15,445.7,2116.11,1026.69,2126.26,280.13,1223.52,121.42,5.59,47.27,15.21,3.31,405.24,1957.37,1304.73,88.66
12.84,38.08,0.001,2.39,1.38,0.001,8.3,57.74,6.78,12.5,28.59,18.69,1.89,0.001,6.91,100.04,6.95,51.09,18.28,104.57,175.28,306.52,807.85,33.61,0.001,45.36,3.94,2.63,235.86,214.29,0.001,32.45
8.68,48.77,0.001,1.51,0.84,0.001,2.68,72.51,5.8,5.36,42.48,8.12,1.26,136.03,2.93,116.22,7.12,12.99,0.001,47.17,96.69,51.43,895.88,25.12,0.001,48.21,2.82,2.21,67.61,57.71,35.81,30.43
12.86,22.51,409.25,3.84,81.21,19.53,11.15,0.001,7.33,5.09,51.3,32.82,4.16,229.83,8.38,120.5,19.97,34.53,0.001,143.25,383.44,103.5,719.41,31.69,0.001,41.17,6.84,2.55,351.5,250.97,0.001,56.91
24.66,158.15,2.86,14.92,5.01,0.001,294.49,49.61,84.17,489.42,145.82,100.4,4.16,484.36,30.36,242.12,13.21,124.62,218.98,1523.08,1798.42,385.9,993.23,47.75,33.18,33.09,5.11,2.94,141.37,494.15,0.001,107.14
14.59,22.51,0.001,3.84,1.51,0.001,22.21,0.001,8.72,18.72,40.08,27.26,1.04,15.39,22.47,98.21,6.75,135.6,19.21,198.02,321.2,436.16,586.67,35.79,0.001,37.2,3.58,2.17,183.75,509.19,0.001,39.72
33.36,159.41,0.001,25.62,5.01,0.001,64.68,38.26,320.75,411.7,241.43,87.06,4.82,299.72,283.39,201.85,12.56,951.73,2607.09,1234.02,2590.04,202.62,1226.22,158.79,0.001,46.9,19.86,3.13,517.49,3313.25,1110.74,73.84
8.95,13.87,0.001,1.73,0.4,0.001,4.87,0.001,0.001,3.73,23.52,10.31,1.59,0.001,5.28,89.34,7.23,65.85,0.001,63.71,120.02,191.46,652.52,27.53,0.001,39.2,2.47,2.17,33.85,324.31,0.001,36.55
7.84,0.001,0.001,1.4,0.4,0.001,2.34,0.001,0.001,3.18,23.52,10.31,1.23,15.39,3.31,67.61,6.85,21.84,0.001,21.21,57.51,44.72,706.16,23.28,0.001,39.2,2.47,1.88,33.85,97.45,0.001,39.72
25.95,84.03,576,12.2,67.81,15.28,46.86,0.001,29.9,9.95,72.12,70.97,18.08,369.21,44.26,201.85,54.52,137.96,160.1,572.98,1080.73,314.61,555.88,39.83,0.001,69.56,19.45,5.05,538.15,848.25,0.001,99.63
27.38,164.43,0.84,16.36,6.19,2.14,695.72,74.4,199.04,523.08,181.41,118.96,5.78,655.88,37.26,268.08,16.6,69.82,301.79,2561.76,2487.89,494.13,884.25,43.81,0.001,43.11,4.24,4.28,236.43,244.92,0.001,185.46
17.52,51.08,0.001,6.58,2.47,0.001,51.83,0.001,56.27,13.42,45.68,38.34,1.41,159.42,48.69,130.05,7.7,203.85,129.92,399.76,473.69,664.8,315.97,27.53,0.001,57.72,3.8,3.71,183.75,842.74,0.001,44.44
60.45,299.14,0.001,24.66,6.58,2.14,149.4,0.001,396.28,400.07,267.68,97.74,5.78,415.36,523.88,222.99,23.13,963.26,2688.32,1427.82,2671.54,410.63,1041.79,155.4,0.001,72.82,17.79,5.82,723.38,3412.06,1078.37,86.03
9.38,10.51,0.001,4.32,1.51,0.001,17.07,0.001,8.72,6.45,45.68,32.82,1.04,0.001,15.9,89.34,4.15,111.65,0.001,188.29,209.99,480.84,460.8,27.53,0.001,67.91,5.11,3.51,162.59,501.52,0.001,33.37
9.81,29.99,0.001,5.45,2.15,0.001,17.39,0.001,8.72,7.26,30.84,38.34,1.77,88.23,19.22,133.06,7.23,131.71,51.68,246.22,267.86,276.21,561.51,31.69,0.001,85.43,4.67,3.51,162.59,609.99,0.001,39.72
13.05,0.001,321.39,6.1,106.49,12.45,18.65,0.001,14.43,20.83,55.06,43.83,7.05,253.18,5.28,133.06,134.91,13.44,0.001,273.14,716.97,219.6,660.63,18.93,13.69,21.92,8.13,2.94,162.59,85.58,0.001,38.13
24.34,145.31,2.86,13.96,6.39,2.14,380.45,8.57,46.05,546.85,161.59,97.74,4.16,461.39,17.02,239.05,13.02,27.88,224.99,1822.72,1643.01,411.37,856.49,31.69,0.001,21.92,3.8,2.94,98.71,127.84,0.001,129.53
