"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
14.96,0.001,0.001,2.87,1.3,0.001,16.91,0.001,4.27,18.72,30.84,10.31,0.66,15.39,7.78,52.86,4.83,42.12,0.001,116,231.68,367.56,583.89,23.28,0.001,21.92,2.91,2.36,33.85,164.42,0.001,26.96
24.66,93.4,2.62,18.6,8.71,0.001,47.68,21.69,291.97,335.65,197.33,62.87,3.83,182.96,45.99,175.77,13.21,158.32,2456.25,796.48,2218.1,219.01,936.65,114.01,0.001,26.57,12.79,3.51,288.86,1029.32,1138.06,56.91
7.15,0.001,0.001,1.24,0.15,0.001,7.07,0.001,0.001,20.3,16.31,10.31,1.04,0.001,1.17,0.001,2.88,20.94,0.001,32.34,76.83,216.3,481.34,18.93,0.001,19.47,2.47,2.17,11.73,96.07,0.001,17.19
6.68,0.001,0.001,1.89,0.86,0.001,2.9,0.001,0.001,15.55,19.9,10.31,1.04,0.001,1.17,79.34,6.85,8.11,0.001,21.12,56.38,79.86,750.98,14.44,0.001,30.97,2.47,2.55,33.85,36.62,0.001,23.73
22.69,32.31,201.65,10.28,140.23,24.86,66.34,0.001,18.46,22.41,62.62,49.29,32.56,182.96,12.5,154.82,293.67,63.8,194.01,342.21,1110.09,664.97,498.78,23.28,0.001,43.11,16.96,4,5538.03,342.4,0.001,53.81
24.99,163.18,2.38,15.4,13.43,2.14,938.67,0.001,149.32,1420.49,173.47,124.24,5.46,553.12,33.45,239.05,24.57,56.61,369.28,1835.15,4748.59,1982.17,518.94,18.93,0.001,28.8,5.55,4.28,1314.28,127,0.001,154.67
56.59,90.32,0.001,8.51,8.52,2.14,156.8,0.001,31.85,35.99,72.12,57.45,2.47,206.43,49.43,144.4,109.63,173.63,200.41,686.87,1244.84,1712.47,403.83,23.28,0.001,45.02,9.41,3.32,743.9,512.84,0.001,28.57
105.62,241.13,0.001,49.56,39.89,6.89,285.02,0.001,667.56,735.14,377.98,118.96,7.05,415.36,987.23,226.3,101.75,1171.31,4334.84,2137.6,4219.77,1202.27,1313.59,282.74,0.001,50.59,43.05,5.63,2140.2,4951.58,1462.03,68.48
13.63,32.31,0.001,5.78,10.99,0.001,59.97,0.001,11.36,34.95,34.52,32.82,2.13,88.23,13.65,106.23,18.88,116.75,95.32,274.5,646.09,1521.45,558.7,31.69,0.001,45.02,8.98,2.55,2440.48,322.46,0.001,22.1
8.51,36.79,0.001,1.24,5.6,0.001,14.82,38.26,2.5,18.72,34.52,10.31,1.04,64.23,3.98,98.21,4.93,28.92,0.001,38.26,105.29,327.77,1101.72,27.53,0.001,45.96,4.67,3.13,476.12,82.89,0.001,22.1
69.25,191.15,539.11,20.83,151.51,22.64,101.58,17.78,87.9,74.06,201.32,129.52,35.54,530.22,381.53,232.77,54.52,744.53,270.32,2687.36,2657.87,102.41,1214.61,55.51,0.001,100.39,48.26,4.28,225.91,4663.58,0.001,154.67
27.85,145.31,273.55,16.36,27.58,4.01,580.77,0.001,116.14,506.75,171.49,108.37,5.78,380.76,47.47,242.12,16.24,67.64,331.61,1852.73,2133.8,207.51,797.72,35.79,0.001,39.2,21.1,3.32,120.08,112.3,0.001,178.15
18.24,32.31,0.001,5.13,5.2,0.001,35.7,0.001,21.74,13.42,34.52,43.83,2.13,112.08,39.52,120.5,4.35,136.02,95.32,281.94,268.73,331.69,0.001,9.77,0.001,55.97,3.8,2.36,77.24,255.24,0.001,31.78
53.18,186.39,0.001,47.64,16.94,4.01,84.25,0.001,572.4,690.16,308.3,97.74,6.58,229.83,526.35,201.85,13.02,852.26,4000.32,1646.77,2759.78,291.78,1094.57,287.5,0.001,64.58,32.95,4.09,928.01,4351.32,1484.6,70.78
26.59,70.88,3.33,9.64,18.58,0.001,22.82,0.001,36.58,12.62,77.85,65.57,2.82,218.14,143.43,184.23,11.36,480.12,212.89,860.05,728.56,179.21,924.24,47.75,0.001,64.58,5.98,3.9,120.08,1486.78,0.001,38.13
5.71,0.001,0.001,1.89,4.61,0.001,3.33,0.001,0.001,0.94,9.22,10.31,1.04,0.001,9.28,0.001,2.97,27.25,0.001,24.67,44.33,30.4,283.16,14.44,0.001,77.63,1.56,2.36,66.46,70.63,0.001,31.78
13.44,0.001,143.57,5.78,84.31,0.001,12.34,0.001,9.4,9.68,41.94,30.04,7.68,64.23,6.54,106.23,19.78,32.36,0.001,203.95,475.91,148.89,737.87,14.44,0.001,26.57,10.68,2.36,183.75,185.11,0.001,33.37
28.17,186.39,16.18,16.04,9.47,6.89,770.29,25.33,100.29,1013.18,173.47,113.67,5.46,598.84,21.39,259.74,17.15,42.86,291.5,2150.58,2843.07,548.1,1096.96,23.28,0.001,26.57,5.98,2.94,162.59,93.21,0.001,181.81
18.94,41.06,0.001,6.1,2.98,0.001,37.61,0.001,16.19,29.74,34.52,38.34,1.59,15.39,12.79,113.62,8.93,88.09,51.68,349.25,437.57,724.26,740.49,25.42,0.001,28.8,4.67,1.69,98.71,298.56,0.001,28.57
48.1,174.31,3.79,48.92,14.54,2.14,118.15,0.001,568.07,731.66,355.36,92.41,6.1,229.83,392.24,198.09,17.24,662.38,4008.1,1593.55,3096.03,396.31,1748.57,279.57,0.001,35.17,33.76,3.13,928.01,3070.93,1589.03,67.71
12.27,52.99,1.38,4.16,1.73,0.001,11.49,0.001,10.06,16.08,34.52,27.26,1.04,112.08,8.99,126.95,6.08,71.35,0.001,201.2,258.54,491.34,1012.73,33.75,0.001,33.09,4.67,2.36,98.71,231.83,0.001,23.73
7.61,0.001,0.001,0.91,0.4,0.001,3.54,0.001,0.001,8.07,7.48,10.31,0.66,0.001,4.64,0.001,5.51,42.4,0.001,22.29,58.63,61.76,714.12,18.93,0.001,26.57,2.02,2.36,98.71,40.84,0.001,17.19
15.71,32.31,143.71,7.07,28.65,4.01,22.67,0.001,13.83,12.36,38.23,32.82,24.03,112.08,21.39,120.5,29.58,95.02,95.32,255.69,530.58,227.55,555.88,31.69,0.001,45.02,9.83,3.13,1657.79,568.72,0.001,60.01
5.71,0.001,0.001,2.22,0.4,0.001,5.26,0.001,0.001,12.89,9.22,16.02,0.46,0.001,8.38,52.86,4.83,53.87,0.001,92.96,208.09,282.91,373.05,9.77,0.001,93.01,2.91,1.98,120.08,216.78,0.001,30.18
46.85,92.51,17.27,11.01,2.9,1.3,71.96,136.97,26.11,336.33,119.6,48.36,2.8,467.86,17.5,195.9,14.93,8.45,84.37,994.86,1285.6,224.93,1260.97,32.64,129.99,11.96,4.06,3.51,485.69,200.22,608.57,62.02
12.84,21.5,276.05,3.71,3.28,0.001,7.04,38.5,7.75,12.28,31.32,18.69,12.62,0.001,2.6,87.59,10.43,7.8,0.001,93.32,243.67,116.69,772.06,15.95,40.88,28.6,7.99,1.7,198.35,78.33,65.56,65.03
35.31,135.1,20.34,12.73,3.95,0.001,526.56,72.51,119.41,343.42,139.93,84.07,4.25,686.27,15.69,206.8,12.3,22.87,195.76,1202.42,1071.34,459.79,992.73,41.66,63.16,26.24,4.68,2.55,86.21,197.54,190.26,226.71
20.53,47.06,0.001,2.98,1.73,0.001,50.31,35.05,41.4,12.73,36.86,34.13,1.58,0.001,9.19,100.04,6.78,17.9,48.8,186.96,215.55,541.59,744.97,20.65,29.95,29.76,2.82,1.37,311.05,202.76,53.38,101.71
41.21,153.26,1.96,71.74,4.04,0.001,57.91,51.55,777.35,1040.81,400.78,74.21,10.26,315.32,163.46,171.1,14.47,221.4,5582.85,794.02,2494.93,240.85,2082.72,394.93,56.67,45.36,44.88,3.05,1506.3,1643.27,2667.69,150.31
11.11,28.17,0.001,1.8,1.2,0.001,4.92,0.001,8.7,11.14,28.59,13.44,2.5,0.001,3.89,87.59,6.44,24.03,18.28,86.82,96.99,327.05,678.61,20.65,18.95,35.27,2.82,1.54,518.51,232.22,0.001,25.03
11.61,16.55,0.12,2.39,1.38,0.001,2.68,65.24,7.75,9.55,39.66,13.44,1.26,42.04,1.93,111.09,8.12,7.98,0.001,35.61,49.29,80.31,921.92,22.91,56.67,39.44,2.45,2.04,104.84,59.55,93.98,29.09
23.23,71.87,53.47,4.12,3.18,0.82,5.43,128.5,10,11.3,65.05,10.98,8.37,269.71,4.4,139.35,9.38,3.75,21.99,83.7,106.41,54.61,1225.16,42.73,121.62,18.6,5.35,3.92,267.67,92.81,417.59,20.9
50.31,66.98,12.61,7.04,2.4,0.82,17.71,156.54,25.02,25.88,82.62,27.51,2.13,385.2,12.57,170,13.71,8.77,84.37,357.83,414.66,256.8,1246.03,42.73,134.45,15.32,5.35,3.92,467.22,303.74,513.67,34.06
55.17,91.73,8.44,74.92,3.47,1.55,24.32,105.29,668.83,506.5,306.93,40,5.33,249.68,65.8,150.93,14.68,18.79,4020.75,517.24,2596.96,81.92,1697.8,361.75,90.26,28.85,37.83,3.59,1362.42,763.84,3515.85,48.11
27.6,7.26,4.68,2.83,1.62,0.001,5.68,19.12,8.41,5.72,49.86,0.001,0.96,0.001,5.27,87.88,8.07,3.91,21.99,65.67,63.62,39.42,728.81,11.7,65.66,11.96,2.47,2.29,128.52,117.2,311.99,8.51
24.63,66.16,10.7,4.34,1.86,1.3,5.68,242.28,14.65,6.89,79.05,2.83,1.3,269.71,5.85,163.05,15.83,5.72,40.34,76.37,37.57,33.87,1833.76,68.52,169.92,34.95,4.7,6.24,179.9,53.9,588.12,18.68
16.66,52.12,510.11,7.85,34.03,0.001,42.71,60.77,10.55,54.06,56.86,23.88,60.72,265.54,9.75,134.81,14.95,22.44,72.31,199.67,514.27,283.05,943.5,25.12,26.13,23.78,12.69,2.55,292.23,325.97,45.93,109.52
38.68,195.77,19.2,17.19,6.28,0.001,1102.2,93.26,70.35,1850.51,177.22,127.98,5.94,933.97,25.36,243.49,14.95,33.42,290.62,2360.26,3453.53,980.41,1041.43,53.17,51.62,23.78,5.42,3.14,142.18,227.61,93.98,238.21
20.91,85.01,0.001,6.52,3.28,0.001,62.96,72.51,19.27,72.84,56.86,44.27,3.67,212.92,14.64,130.41,5.07,32.87,92.86,338.25,565.6,759.8,900.23,25.12,36.08,23.78,5.05,2.72,160.89,362.81,15.91,121.86
35.62,144.28,0.001,21.36,5.29,0.001,122.79,60.77,356.53,442.42,192.04,79.14,6.49,315.32,210.32,165.89,9.94,279.55,2446.91,1327.57,2532.35,371.65,924.08,134.08,0.001,29.76,16.64,2.72,442.97,2824.74,1205.68,118.61
11.61,38.08,0.001,2.09,2.25,0.001,12.3,31.51,7.75,31.58,25.88,18.69,1.58,42.04,4.51,100.04,6.61,30.65,18.28,116.27,162.83,331.91,690.15,25.12,0.001,21.2,3.2,2.55,123.5,371.09,0.001,49.15
11.36,41.76,0.001,1.21,1.55,0.001,9.24,57.74,7.75,29.43,39.66,8.12,1.89,175.69,2.6,100.04,6.27,11.4,18.28,48.1,96.39,112.84,1049.85,29.43,32.04,26.24,2.82,2.04,86.21,119.51,0.001,45.16
12.07,1.29,258.56,4,8.52,0.001,12.34,64.95,4.27,12.36,38.23,27.26,6.1,123.95,3.31,138.86,9.49,8.72,0.001,116.62,266.7,47.25,894.29,35.79,14.88,21.92,7.7,1.98,33.85,97.98,0.001,72.31
25.31,105.38,5.55,13.8,4.21,0.001,240.32,69.74,57.52,236.75,149.76,87.06,3.83,369.21,19.76,216.19,11.91,16.95,212.89,1195.84,1575.16,286.73,904.3,59.34,0.001,16.91,4.67,3.13,98.71,136.24,0.001,224.67
13.44,0.001,0.001,3.52,1.08,0.001,30.38,0.001,24.88,9.95,38.23,27.26,1.41,0.001,7.78,98.21,6.56,14.72,0.001,160.77,229.85,244.83,561.51,14.44,0.001,21.92,2.91,2.46,55.64,111.58,0.001,93.59
23.68,96.45,0.001,22.75,5.8,0.001,37.82,38.26,350.15,397.34,225.35,70.97,4.16,159.42,80.31,154.82,10.05,54.56,2560.77,767.28,2112.86,96.52,1002.99,155.4,0.001,26.57,16.13,2.55,455.4,1072.04,1110.74,102.64
9.38,10.51,0.001,2.22,0.63,0.001,3.96,8.57,0.15,6.45,36.37,21.67,1.04,112.08,4.64,113.62,8.55,11.02,0.001,53.13,85.87,99.08,745.74,18.93,0.001,16.91,2.47,2.17,55.64,86.71,0.001,28.57
9.81,0.001,3.79,1.56,0.15,0.001,1.99,0.001,0.001,6.45,27.17,16.02,0.85,52.15,1.17,113.62,6.66,5.86,0.001,36.18,66.73,32.36,914.29,27.53,13.69,16.91,2.47,1.98,33.85,35.31,0.001,31.78
11.87,0.001,368.4,5.45,22.21,0.001,18.18,0.001,2.5,19.78,30.84,21.67,12.98,52.15,4.64,79.34,10.61,12.11,0.001,151.36,444.09,97.32,445.98,23.28,0.001,26.57,16.13,2.36,120.08,139.31,0.001,95.1
29.57,133.39,6.4,14.44,4.91,2.14,590.86,62.5,69.6,408.98,157.64,92.41,4.16,621.67,18.12,245.16,13.11,22.4,248.21,1494.3,1823.32,459.89,894.29,39.83,17.14,24.29,5.11,3.51,98.71,155.55,0.001,247.75
16.07,6.64,0.001,4.49,2.15,0.001,46.58,0.001,19.57,27.65,41.94,32.82,1.77,123.95,7.78,110,7.42,19.67,0.001,223.92,370.91,446.62,633.49,18.93,0.001,21.92,2.91,2.55,267.91,199.9,0.001,92.08
33.96,116.88,10.86,47.01,4.41,0.001,72,0.001,514.34,790.67,334.86,70.97,5.46,112.08,179.23,173.58,16.42,203.58,4182.94,887.33,2619.42,215.58,1510.71,289.08,0.001,35.17,33.76,2.94,907.6,1440.14,1717.56,119.85
13.44,41.06,8.47,3.03,1.73,0.001,9.59,0.001,4.27,21.62,38.23,16.02,1.41,64.23,6.54,98.21,7.99,27.78,0.001,109.88,182.77,319.13,761.43,35.79,0.001,28.8,2.91,3.13,120.08,199.28,0.001,24.54
5.46,0.001,0.001,1.56,0.63,0.001,3.64,0.001,0.001,15.28,16.31,16.02,0.66,0.001,3.98,52.86,6.08,10.46,0.001,39.09,69.32,60.36,578.31,18.93,0.001,35.17,2.47,2.55,55.64,57.51,0.001,28.57
10.54,0.001,615.43,24.68,34.17,27.55,46.26,0.001,13.62,32.51,65.84,70.49,329.75,24.54,0.9,126.14,265.03,1.69,88.89,259.3,1089.2,676.37,756.41,17.51,0.001,27.97,106.05,6.27,3071.41,52.57,0.001,85.1
23.13,76.14,0.001,15.61,5.65,0.001,1557.5,113.58,267.33,1200.88,211.14,105.83,4.08,632.64,35.17,296.38,59.43,17.74,364.13,3302,7218.93,3096.06,1126.98,35.06,0.001,17.81,4.67,6.97,509.98,191.5,0.001,581.57
1.95,0.001,0.001,0.001,0.4,0.001,6.93,14.21,7.13,49.32,35.08,0.001,0.001,176.28,3.51,106.76,0.001,2.98,0.001,79.63,191.77,198.59,807,17.51,0.001,25.58,1.35,1.4,93.61,59.87,0.001,42.06
25.86,0.001,0.001,3.85,1.91,0.001,55.05,0.001,58.22,34.25,51.89,32.46,0.001,383.8,42.47,167.01,4.99,18.94,122.94,559.08,925.33,2246.89,487.09,17.51,0.001,27.97,1.77,2.97,162.93,352.55,0.001,122.24
55.25,80.87,0.001,12.98,5.46,0.001,280.48,0.001,149.33,65.5,121.58,92.62,3.6,234.57,1380.16,210.55,42.3,278.72,360.02,3148.87,3784.48,935.01,691.3,46.96,0.001,30.29,8.69,7.49,348.22,5533.9,0.001,92.36
13.13,0.001,0.001,3.52,1.5,0.001,60.1,0.001,11.81,42.34,47.69,25.66,0.27,0.001,12.74,120.04,29.03,18.55,68.59,468.8,683.69,2032.58,226.49,12.54,0.001,32.55,1.77,2.62,319.27,264.66,0.001,33.55
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.87,28.39,20.97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,20.65,55.7,96.8,827.05,7.05,0.001,26.78,0.001,0.44,38.9,6.66,0.001,35.25
9.01,0.001,483.73,24.84,44.65,25.78,52.72,69.63,22.75,28.39,57.47,88.2,405.7,0.001,1.79,148.02,456.1,5.38,68.59,275.24,1119.15,583.51,823.71,26.62,0.001,21.82,121.18,6.71,7963.25,46.99,0.001,97.05
21.02,92.28,0.001,12.82,4.86,0.001,1843.08,134.42,230.31,977.47,192.89,110.23,2.86,448.11,32.13,246.56,131.78,15.05,388.23,2686.16,5494.28,2317.51,1016.23,37.1,0.001,14.95,4.26,6.1,1305.06,151.38,0.001,539.32
0.001,0.001,0.001,0.001,0.12,0.001,10.19,0.001,5.17,55.66,40.7,0.001,0.001,0.001,2.37,47.46,4.04,0.001,0.001,75.97,204.26,218.58,803.65,7.05,0.001,20.52,0.001,1.22,148.97,45.01,0.001,42.91
21.14,0.001,0.001,3.85,2.32,0.001,68.66,51.16,81.4,32.98,60.27,25.66,0.001,176.28,48.97,126.14,6.35,16.73,106.73,465.98,843.33,2094.62,753.02,26.62,0.001,23.1,2.61,2.79,233.37,273.77,0.001,123.09
54.21,112.67,0.001,17.58,5.92,14.91,285.56,89.29,204.61,62.64,143.9,101.43,38.53,304.01,1614.46,252.57,535.73,202.59,403.82,3278.81,4345.11,1070.99,1049.69,50.78,0.001,30.29,13.05,7.84,922.69,5288.48,0.001,130.78
14.89,0.001,0.001,1.58,1.37,0.001,44.18,0.001,12.26,50.9,51.89,16.53,0.001,145.84,10.08,95.56,11.43,15.89,43.73,401.1,618.88,1880.88,585.72,0.001,0.001,25.58,0.92,1.4,1353.76,197.11,0.001,33.55
0.001,0.001,0.001,0.001,0.001,0.001,0.38,0.001,1.46,37.27,23.81,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,22.74,60.14,118.82,513.05,0.001,0.001,17.81,0.001,0.001,11.47,4.79,0.001,36.1
8.85,0.001,569.25,15.61,28.73,0.001,44.67,109.83,15.4,24.26,58.87,48.2,132.52,44.69,0.59,142.87,130.72,6.28,68.59,257.78,863.74,576.19,916.1,9.89,0.001,32.55,108.7,3.66,3035.47,34,0.001,82.12
17.34,53.21,0.001,10.36,4.06,0.001,833.75,109.83,187.95,669.3,149.49,79.36,1.09,317.54,20.34,222.63,21.18,16.1,235.38,1837.14,4093.55,1692.36,987.37,26.62,0.001,11.87,1.35,2.18,162.93,143.92,0.001,482.83
2.24,0.001,0.001,0.001,0.001,0.001,4.9,89.29,4.15,37.58,29.46,0.001,0.001,0.001,0.001,78.07,0.001,6.72,0.001,60.79,132.95,158.13,893.19,12.54,0.001,25.58,0.001,0.26,66.2,35.07,0.001,23.33
20.54,0.001,0.001,2.88,1.5,0.001,45.77,0.001,59.74,31.56,57.47,16.53,0.001,0.001,19.04,131.96,8.27,20.69,68.59,411.56,793.71,1911.16,483.36,17.51,0.001,32.55,0.92,1.92,205.06,227.32,0.001,117.11
46.24,41.74,0.001,10.36,4.19,0.001,177.11,51.16,124.02,59.95,102.07,79.36,0.82,220.27,896.46,206.97,22.87,210.38,265.98,2474.14,3101.46,822,708.56,39.11,0.001,34.76,6.09,4.36,333.73,3120.54,0.001,88.94
18.72,0.001,0.001,3.2,1.98,0.001,38.62,0.001,9.03,42.02,54.68,21.11,0.001,114.2,9.54,106.76,7.06,26.91,68.59,448.71,699.7,1787.42,516.73,17.51,0.001,32.55,0.92,1.92,219.19,257.72,0.001,24.18
2.51,0.001,0.001,0.001,0.001,0.001,0.07,74.94,0.87,25.53,32.27,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,24.94,50.45,93.62,961.57,12.54,0.001,25.58,0.001,0.7,25.25,7.37,0.001,24.18
9.32,0.001,494.04,15.28,20.95,0.001,36.24,93.68,14.51,46.46,57.47,34.72,129.1,0.001,1.79,106.76,129.47,2.98,68.59,259.03,871.72,591.72,833.71,17.51,0.001,27.97,104.16,3.84,1986.09,33.75,0.001,90.22
17.47,104.26,0.001,13.31,4.39,0.001,1052.92,140.84,248.57,996.73,170.46,101.43,2.86,357.56,26.77,252.57,12.39,18.74,294.62,2475.97,4684,1942.91,1134.81,35.06,0.001,14.95,2.61,3.31,148.97,176.48,0.001,521.05
3.5,0.001,0.001,0.001,0.12,0.001,7.87,72.33,6.16,48.37,29.46,0.001,0.001,0.001,0.28,87.27,0.001,4.07,0.001,68.13,162.6,188.42,934.02,22.17,0.001,30.29,0.001,0.7,79.88,40.71,0.001,30.14
30.25,0.001,0.001,2.55,1.91,0.001,56.41,0.001,62.4,51.22,49.09,30.2,0.001,0.001,21.63,126.14,7.24,20.59,56.98,526.22,1031.26,2406.11,505.66,0.001,0.001,25.58,0.92,1.57,107.39,308.24,0.001,131.64
60.22,161.21,0.001,13.97,4.46,0.001,270.17,63.98,130.31,105.29,116,83.78,4.32,547.87,1151.91,219.25,250.72,222.21,321.72,3004.03,3863.45,1086.78,1073.47,43.08,0.001,34.76,7.9,5.4,706.14,3987.68,0.001,118.82
21.85,0.001,0.001,4.5,1.5,0.001,45.7,0.001,10.89,64.55,47.69,25.66,0.001,0.001,14.33,99.44,19.48,28.38,43.73,556.31,890,2159.38,589.3,7.05,0.001,30.29,1.14,1.22,176.93,316.55,0.001,29.29
4.16,0.001,0.001,0.001,0.001,0.001,0.65,74.94,0.001,33.46,20.97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,26.56,55.38,105.74,786.85,7.05,0.001,25.58,0.001,0.001,38.9,4.79,0.001,30.14
10.21,0.001,46.9,2.93,0.75,0.39,1.04,65.66,0.001,5.57,18.1,0.001,0.34,0.001,0.001,38.05,2.84,2.11,0.001,8.6,34.39,10.85,458.06,12.25,0.001,0.001,2.18,1.62,11.86,2.77,244.22,13.46
14.18,0.001,1.93,5.68,0.42,1.66,87.92,71.5,9.06,196.66,29.75,12.25,0.99,0.001,4.31,63.81,1.98,5.94,68.81,313.53,271.06,146.36,396.88,16.73,0.001,10.75,1.85,1.03,11.86,58.5,52.3,24.13
8.6,0.001,0.92,2.47,0.001,0.39,4.06,4.05,0.001,5.37,5.73,0.001,0.001,0.001,0.46,0.001,1.25,3.35,0.001,27.99,40.51,86.78,333.47,10.02,0.001,0.001,1.01,1.03,5.1,24.84,28.67,8.98
9.46,0.001,1.17,3.95,0.001,0.39,8.39,37.35,0.001,9.36,0.001,5.87,0.11,0.001,18.76,41.81,3.3,41.13,0.001,168.54,119.88,31.65,538.64,14.49,0.001,5.45,1.52,1.03,5.1,593.93,0.001,11.52
5.78,0.001,0.53,2.47,0.001,0.001,0.94,45.5,0.001,3.56,0.001,0.001,0.001,0.001,0.001,21.19,1.98,3.86,0.001,16.8,23.34,43.81,374.11,3.31,0.001,0.001,0.84,1.18,5.1,30.47,0.001,7.72
9.84,0.001,3.41,3.39,0.001,0.001,0.74,65.66,0.001,3.36,8.33,0.001,0.11,0.001,0.001,0.001,2.55,2.02,0.001,2.98,1.78,5.31,368.37,10.02,0.001,0.001,1.01,1.76,11.86,0.82,182.23,7.1
